"filename", "language", "C++", "YAML", "Log", "comment", "blank", "total"
"/Users/danendracleveroananda/Documents/Kuliah/TA/SimpleExample/.trunk/trunk.yaml", "YAML", 0, 22, 0, 2, 1, 25
"/Users/danendracleveroananda/Documents/Kuliah/TA/SimpleExample/include/Strategy/decide_position.hpp", "C++", 46, 0, 0, 3, 8, 57
"/Users/danendracleveroananda/Documents/Kuliah/TA/SimpleExample/include/Strategy/shoot_at_goal.hpp", "C++", 129, 0, 0, 17, 23, 169
"/Users/danendracleveroananda/Documents/Kuliah/TA/SimpleExample/include/logger/logger.hpp", "C++", 84, 0, 0, 3, 19, 106
"/Users/danendracleveroananda/Documents/Kuliah/TA/SimpleExample/include/math/new_vec_attr.hpp", "C++", 13, 0, 0, 0, 5, 18
"/Users/danendracleveroananda/Documents/Kuliah/TA/SimpleExample/include/math/new_vec_repl.hpp", "C++", 10, 0, 0, 1, 2, 13
"/Users/danendracleveroananda/Documents/Kuliah/TA/SimpleExample/include/math/vec_attr.hpp", "C++", 62, 0, 0, 4, 11, 77
"/Users/danendracleveroananda/Documents/Kuliah/TA/SimpleExample/include/math/vec_repl.hpp", "C++", 41, 0, 0, 6, 11, 58
"/Users/danendracleveroananda/Documents/Kuliah/TA/SimpleExample/include/matplotlib/matplotlibcpp.h", "C++", 2505, 0, 0, 137, 645, 3287
"/Users/danendracleveroananda/Documents/Kuliah/TA/SimpleExample/include/simple_example/final/attack_double.hpp", "C++", 160, 0, 0, 25, 29, 214
"/Users/danendracleveroananda/Documents/Kuliah/TA/SimpleExample/include/simple_example/final/attack_single.hpp", "C++", 154, 0, 0, 25, 28, 207
"/Users/danendracleveroananda/Documents/Kuliah/TA/SimpleExample/include/simple_example/final/defend_single.hpp", "C++", 164, 0, 0, 25, 30, 219
"/Users/danendracleveroananda/Documents/Kuliah/TA/SimpleExample/include/simple_example/final/robot_motion.hpp", "C++", 160, 0, 0, 25, 29, 214
"/Users/danendracleveroananda/Documents/Kuliah/TA/SimpleExample/include/simple_example/game_algorithm.hpp", "C++", 90, 0, 0, 1, 22, 113
"/Users/danendracleveroananda/Documents/Kuliah/TA/SimpleExample/include/simple_example/machine_state.hpp", "C++", 45, 0, 0, 0, 8, 53
"/Users/danendracleveroananda/Documents/Kuliah/TA/SimpleExample/include/simple_example/main.hpp", "C++", 57, 0, 0, 4, 20, 81
"/Users/danendracleveroananda/Documents/Kuliah/TA/SimpleExample/include/simple_example/main_game.hpp", "C++", 347, 0, 0, 63, 80, 490
"/Users/danendracleveroananda/Documents/Kuliah/TA/SimpleExample/include/simple_example/positioning.hpp", "C++", 74, 0, 0, 4, 22, 100
"/Users/danendracleveroananda/Documents/Kuliah/TA/SimpleExample/include/simple_example/static_game.hpp", "C++", 178, 0, 0, 41, 39, 258
"/Users/danendracleveroananda/Documents/Kuliah/TA/SimpleExample/include/utils/entity.hpp", "C++", 118, 0, 0, 27, 18, 163
"/Users/danendracleveroananda/Documents/Kuliah/TA/SimpleExample/include/utils/pid.h", "C++", 67, 0, 0, 0, 14, 81
"/Users/danendracleveroananda/Documents/Kuliah/TA/SimpleExample/include/utils/timer.hpp", "C++", 65, 0, 0, 2, 10, 77
"/Users/danendracleveroananda/Documents/Kuliah/TA/SimpleExample/include/utils/track_keyboard.hpp", "C++", 161, 0, 0, 10, 16, 187
"/Users/danendracleveroananda/Documents/Kuliah/TA/SimpleExample/include/utils/utils.hpp", "C++", 74, 0, 0, 22, 20, 116
"/Users/danendracleveroananda/Documents/Kuliah/TA/SimpleExample/log/logger.log", "Log", 0, 0, 7588, 0, 1, 7589
"/Users/danendracleveroananda/Documents/Kuliah/TA/SimpleExample/src/final/attack_double.cpp", "C++", 220, 0, 0, 36, 59, 315
"/Users/danendracleveroananda/Documents/Kuliah/TA/SimpleExample/src/final/attack_single.cpp", "C++", 181, 0, 0, 29, 50, 260
"/Users/danendracleveroananda/Documents/Kuliah/TA/SimpleExample/src/final/convert_matlab_to_cpp.cpp", "C++", 88, 0, 0, 2, 21, 111
"/Users/danendracleveroananda/Documents/Kuliah/TA/SimpleExample/src/final/defend_single.cpp", "C++", 263, 0, 0, 43, 64, 370
"/Users/danendracleveroananda/Documents/Kuliah/TA/SimpleExample/src/final/robot_motion.cpp", "C++", 215, 0, 0, 48, 60, 323
"/Users/danendracleveroananda/Documents/Kuliah/TA/SimpleExample/src/line_circle_interception.cpp", "C++", 67, 0, 0, 16, 23, 106
"/Users/danendracleveroananda/Documents/Kuliah/TA/SimpleExample/src/machine_state.cpp", "C++", 298, 0, 0, 27, 59, 384
"/Users/danendracleveroananda/Documents/Kuliah/TA/SimpleExample/src/main.cpp", "C++", 165, 0, 0, 21, 40, 226
"/Users/danendracleveroananda/Documents/Kuliah/TA/SimpleExample/src/main_game.cpp", "C++", 147, 0, 0, 11, 29, 187
"/Users/danendracleveroananda/Documents/Kuliah/TA/SimpleExample/src/positioning.cpp", "C++", 168, 0, 0, 27, 43, 238
"/Users/danendracleveroananda/Documents/Kuliah/TA/SimpleExample/src/static_game.cpp", "C++", 37, 0, 0, 3, 12, 52
"/Users/danendracleveroananda/Documents/Kuliah/TA/SimpleExample/src/test.cpp", "C++", 17, 0, 0, 2, 8, 27
"Total", "-", 6670, 22, 7588, 712, 1579, 16571